N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
9,1,DETECT,1,1,,,0,71.375
9,2,TRACK,0,0,0.9866,,0,40.585
9,3,TRACK,0,0,0.9882,,0,23.202
9,4,TRACK,0,0,0.9786,,0,18.362
9,5,TRACK,0,0,0.9768,,0,15.223
9,6,TRACK,0,0,0.9661,,0,14.074
9,7,TRACK,0,0,0.9605,,0,15.303
9,8,TRACK,0,0,0.9557,,0,16.696
9,9,TRACK,1,1,0.9714,0.6466,0,48.939
9,10,TRACK,0,0,0.9677,,0,11.559
9,11,TRACK,0,0,0.9620,,0,14.633
9,12,TRACK,0,0,0.9537,,0,22.781
9,13,TRACK,0,0,0.9524,,0,11.899
9,14,TRACK,0,0,0.9558,,0,17.587
9,15,TRACK,0,0,0.9504,,0,17.680
9,16,TRACK,0,0,0.9485,,0,16.009
9,17,TRACK,0,0,0.9492,,0,10.756
9,18,TRACK,1,1,0.9471,0.8556,0,42.603
9,19,TRACK,0,0,0.9507,,0,14.731
9,20,TRACK,0,0,0.9472,,0,19.566
9,21,TRACK,0,0,0.9369,,0,17.403
9,22,TRACK,0,0,0.9377,,0,14.291
9,23,TRACK,0,0,0.9385,,0,14.682
9,24,TRACK,0,0,0.9410,,0,13.349
9,25,TRACK,0,0,0.9392,,0,13.250
9,26,TRACK,0,0,0.9384,,0,13.803
9,27,TRACK,1,1,0.9343,0.8580,0,35.192
9,28,TRACK,0,0,0.9467,,0,22.043
9,29,TRACK,0,0,0.9456,,0,18.526
9,30,TRACK,0,0,0.9365,,0,15.421
9,31,TRACK,0,0,0.9386,,0,15.947
9,32,TRACK,0,0,0.9225,,0,17.572
9,33,TRACK,0,0,0.9352,,0,21.161
9,34,TRACK,0,0,0.9354,,0,16.605
9,35,TRACK,0,0,0.9415,,0,14.874
9,36,TRACK,1,1,0.9323,0.8495,0,43.908
9,37,TRACK,0,0,0.8913,,0,15.854
9,38,TRACK,0,0,0.8891,,0,14.462
9,39,TRACK,0,0,0.8930,,0,18.572
9,40,TRACK,0,0,0.8861,,0,16.864
9,41,TRACK,0,0,0.8857,,0,14.859
9,42,TRACK,0,0,0.8821,,0,18.447
9,43,TRACK,0,0,0.8808,,0,15.964
9,44,TRACK,0,0,0.8699,,0,15.566
9,45,TRACK,1,1,0.8765,0.8787,0,37.817
9,46,TRACK,0,0,0.9211,,0,21.170
9,47,TRACK,0,0,0.9207,,0,19.337
9,48,TRACK,0,0,0.9098,,0,12.855
9,49,TRACK,0,0,0.9161,,0,19.265
9,50,TRACK,0,0,0.9143,,0,15.244
9,51,TRACK,0,0,0.9125,,0,13.539
9,52,TRACK,0,0,0.9155,,0,14.042
9,53,TRACK,0,0,0.9182,,0,14.908
9,54,TRACK,1,1,0.9152,0.9123,0,34.949
9,55,TRACK,0,0,0.9173,,0,19.084
9,56,TRACK,0,0,0.9216,,0,15.900
9,57,TRACK,0,0,0.9173,,0,15.985
9,58,TRACK,0,0,0.9193,,0,15.081
9,59,TRACK,0,0,0.9142,,0,15.737
9,60,TRACK,0,0,0.9176,,0,17.612
9,61,TRACK,0,0,0.9190,,0,14.540
9,62,TRACK,0,0,0.9173,,0,23.632
9,63,TRACK,1,1,0.9046,0.8963,0,34.911
9,64,TRACK,0,0,0.9131,,0,11.004
9,65,TRACK,0,0,0.9158,,0,13.278
9,66,TRACK,0,0,0.9122,,0,26.420
9,67,TRACK,0,0,0.9162,,0,16.048
9,68,TRACK,0,0,0.9108,,0,17.212
9,69,TRACK,0,0,0.9149,,0,15.459
9,70,TRACK,0,0,0.9133,,0,18.040
9,71,TRACK,0,0,0.9166,,0,15.186
9,72,TRACK,1,1,0.9141,0.8593,0,38.922
9,73,TRACK,0,0,0.9037,,0,8.707
9,74,TRACK,0,0,0.9026,,0,19.476
9,75,TRACK,0,0,0.9001,,0,13.932
9,76,TRACK,0,0,0.9036,,0,14.739
9,77,TRACK,0,0,0.9020,,0,13.379
9,78,TRACK,0,0,0.9021,,0,14.037
9,79,TRACK,0,0,0.9002,,0,15.594
9,80,TRACK,0,0,0.8973,,0,15.246
9,81,TRACK,1,1,0.9015,0.8842,0,32.365
9,82,TRACK,0,0,0.9646,,0,14.899
9,83,TRACK,0,0,0.9632,,0,11.955
9,84,TRACK,0,0,0.9624,,0,15.587
9,85,TRACK,0,0,0.9599,,0,16.139
9,86,TRACK,0,0,0.9602,,0,16.453
9,87,TRACK,0,0,0.9560,,0,14.279
9,88,TRACK,0,0,0.9570,,0,15.216
9,89,TRACK,0,0,0.9526,,0,12.576
9,90,TRACK,1,1,0.9475,0.8827,0,32.116
9,91,TRACK,0,0,0.9551,,0,13.803
9,92,TRACK,0,0,0.9560,,0,15.674
9,93,TRACK,0,0,0.9500,,0,15.364
