N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
10,1,DETECT,1,1,,,0,76.341
10,2,TRACK,0,0,0.9866,,0,30.939
10,3,TRACK,0,0,0.9882,,0,16.753
10,4,TRACK,0,0,0.9786,,0,25.629
10,5,TRACK,0,0,0.9768,,0,25.463
10,6,TRACK,0,0,0.9661,,0,15.789
10,7,TRACK,0,0,0.9605,,0,18.245
10,8,TRACK,0,0,0.9557,,0,23.688
10,9,TRACK,0,0,0.9714,,0,16.536
10,10,TRACK,1,1,0.9620,0.6623,0,41.745
10,11,TRACK,0,0,0.9391,,0,15.210
10,12,TRACK,0,0,0.9373,,0,18.902
10,13,TRACK,0,0,0.9262,,0,14.155
10,14,TRACK,0,0,0.9302,,0,12.429
10,15,TRACK,0,0,0.9229,,0,22.333
10,16,TRACK,0,0,0.9241,,0,15.822
10,17,TRACK,0,0,0.9208,,0,15.299
10,18,TRACK,0,0,0.9255,,0,16.924
10,19,TRACK,0,0,0.9312,,0,15.629
10,20,TRACK,1,1,0.9320,0.8831,0,33.531
10,21,TRACK,0,0,0.9808,,0,10.213
10,22,TRACK,0,0,0.9836,,0,20.470
10,23,TRACK,0,0,0.9812,,0,14.440
10,24,TRACK,0,0,0.9864,,0,15.730
10,25,TRACK,0,0,0.9881,,0,15.753
10,26,TRACK,0,0,0.9817,,0,15.532
10,27,TRACK,0,0,0.9783,,0,16.492
10,28,TRACK,0,0,0.9600,,0,15.698
10,29,TRACK,0,0,0.9556,,0,15.820
10,30,TRACK,1,1,0.9472,0.8633,0,38.167
10,31,TRACK,0,0,0.9456,,0,21.887
10,32,TRACK,0,0,0.9365,,0,20.983
10,33,TRACK,0,0,0.9362,,0,20.465
10,34,TRACK,0,0,0.9334,,0,20.355
10,35,TRACK,0,0,0.9335,,0,16.044
10,36,TRACK,0,0,0.9342,,0,16.395
10,37,TRACK,0,0,0.9370,,0,17.130
10,38,TRACK,0,0,0.9306,,0,15.532
10,39,TRACK,0,0,0.9312,,0,17.357
10,40,TRACK,1,1,0.9256,0.8704,0,44.909
10,41,TRACK,0,0,0.9041,,0,16.521
10,42,TRACK,0,0,0.9041,,0,15.050
10,43,TRACK,0,0,0.8960,,0,21.299
10,44,TRACK,0,0,0.8913,,0,14.256
10,45,TRACK,0,0,0.8924,,0,14.852
10,46,TRACK,0,0,0.9001,,0,19.491
10,47,TRACK,0,0,0.8985,,0,19.133
10,48,TRACK,0,0,0.9031,,0,16.023
10,49,TRACK,0,0,0.8870,,0,19.593
10,50,TRACK,1,1,0.8806,0.8896,0,40.467
10,51,TRACK,0,0,0.9216,,0,11.491
10,52,TRACK,0,0,0.9230,,0,17.346
10,53,TRACK,0,0,0.9208,,0,21.194
10,54,TRACK,0,0,0.9209,,0,27.272
10,55,TRACK,0,0,0.9110,,0,19.526
10,56,TRACK,0,0,0.9185,,0,19.834
10,57,TRACK,0,0,0.9047,,0,14.341
10,58,TRACK,0,0,0.9139,,0,15.357
10,59,TRACK,0,0,0.9091,,0,13.640
10,60,TRACK,1,1,0.9137,0.9050,0,34.136
10,61,TRACK,0,0,0.9671,,0,10.800
10,62,TRACK,0,0,0.9658,,0,14.969
10,63,TRACK,0,0,0.9585,,0,14.481
10,64,TRACK,0,0,0.9602,,0,17.165
10,65,TRACK,0,0,0.9602,,0,13.204
10,66,TRACK,0,0,0.9629,,0,12.290
10,67,TRACK,0,0,0.9551,,0,12.975
10,68,TRACK,0,0,0.9603,,0,16.488
10,69,TRACK,0,0,0.9589,,0,15.935
10,70,TRACK,1,1,0.9559,0.9013,0,34.145
10,71,TRACK,0,0,0.9162,,0,10.360
10,72,TRACK,0,0,0.9155,,0,17.811
10,73,TRACK,0,0,0.9141,,0,15.911
10,74,TRACK,0,0,0.9123,,0,15.527
10,75,TRACK,0,0,0.9082,,0,11.913
10,76,TRACK,0,0,0.9152,,0,16.610
10,77,TRACK,0,0,0.9178,,0,14.784
10,78,TRACK,0,0,0.9142,,0,17.712
