N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
5,1,DETECT,1,1,,,0,742.970
5,2,TRACK,0,0,0.9866,,0,77.632
5,3,TRACK,0,0,0.9882,,0,28.756
5,4,TRACK,0,0,0.9786,,0,26.885
5,5,TRACK,1,1,0.9768,0.7854,0,57.953
5,6,TRACK,0,0,0.9667,,0,22.420
5,7,TRACK,0,0,0.9645,,0,28.160
5,8,TRACK,0,0,0.9615,,0,21.845
5,9,TRACK,0,0,0.9596,,0,24.753
5,10,TRACK,1,1,0.9611,0.8045,0,64.792
5,11,TRACK,0,0,0.9182,,0,21.108
5,12,TRACK,0,0,0.9154,,0,27.077
5,13,TRACK,0,0,0.9048,,0,30.295
5,14,TRACK,0,0,0.9116,,0,31.920
5,15,TRACK,1,1,0.9047,0.9042,0,66.149
5,16,TRACK,0,0,0.9467,,0,24.111
5,17,TRACK,0,0,0.9434,,0,27.982
5,18,TRACK,0,0,0.9419,,0,24.350
5,19,TRACK,0,0,0.9417,,0,29.546
5,20,TRACK,1,1,0.9374,0.9058,0,67.390
5,21,TRACK,0,0,0.9275,,0,23.665
5,22,TRACK,0,0,0.9296,,0,30.110
5,23,TRACK,0,0,0.9272,,0,28.259
5,24,TRACK,0,0,0.9319,,0,27.609
5,25,TRACK,1,1,0.9356,0.8455,0,65.706
5,26,TRACK,0,0,0.9554,,0,23.800
5,27,TRACK,0,0,0.9517,,0,26.482
5,28,TRACK,0,0,0.9353,,0,28.991
5,29,TRACK,0,0,0.9381,,0,24.891
5,30,TRACK,1,1,0.9315,0.8544,0,66.177
5,31,TRACK,0,0,0.9040,,0,25.368
5,32,TRACK,0,0,0.8934,,0,28.647
5,33,TRACK,0,0,0.8949,,0,26.525
5,34,TRACK,0,0,0.8915,,0,28.988
5,35,TRACK,1,1,0.8929,0.8776,0,63.081
5,36,TRACK,0,0,0.9028,,0,19.792
5,37,TRACK,0,0,0.9076,,0,28.922
5,38,TRACK,0,0,0.9004,,0,33.835
5,39,TRACK,0,0,0.9005,,0,29.017
5,40,TRACK,1,1,0.8892,0.9177,0,73.688
5,41,TRACK,0,0,0.9041,,0,22.817
5,42,TRACK,0,0,0.9044,,0,27.120
5,43,TRACK,0,0,0.8972,,0,27.237
5,44,TRACK,0,0,0.8939,,0,27.390
5,45,TRACK,1,1,0.8940,0.9162,0,63.357
5,46,TRACK,0,0,0.8975,,0,20.201
5,47,TRACK,0,0,0.8970,,0,26.751
5,48,TRACK,0,0,0.8853,,0,26.864
5,49,TRACK,0,0,0.8899,,0,27.135
5,50,TRACK,1,1,0.8910,0.9010,0,65.531
5,51,TRACK,0,0,0.8803,,0,18.964
5,52,TRACK,0,0,0.8824,,0,27.670
5,53,TRACK,0,0,0.8814,,0,23.338
5,54,TRACK,0,0,0.8824,,0,22.893
5,55,TRACK,1,1,0.8698,0.8820,0,70.133
5,56,TRACK,0,0,0.9536,,0,23.438
5,57,TRACK,0,0,0.9518,,0,27.615
5,58,TRACK,0,0,0.9520,,0,27.899
5,59,TRACK,0,0,0.9542,,0,27.429
5,60,TRACK,1,1,0.9466,0.9070,0,63.132
5,61,TRACK,0,0,0.9045,,0,16.771
5,62,TRACK,0,0,0.9030,,0,21.815
5,63,TRACK,0,0,0.8962,,0,29.678
5,64,TRACK,0,0,0.8993,,0,25.164
5,65,TRACK,1,1,0.8982,0.9054,0,63.433
5,66,TRACK,0,0,0.9185,,0,22.167
5,67,TRACK,0,0,0.9154,,0,24.706
5,68,TRACK,0,0,0.9166,,0,20.974
5,69,TRACK,0,0,0.9170,,0,21.215
5,70,TRACK,1,1,0.9185,0.8688,0,56.114
5,71,TRACK,0,0,0.8923,,0,22.837
5,72,TRACK,0,0,0.8932,,0,27.668
5,73,TRACK,0,0,0.8929,,0,26.586
5,74,TRACK,0,0,0.8911,,0,24.793
5,75,TRACK,1,1,0.8874,0.8347,0,60.673
5,76,TRACK,0,0,0.9506,,0,19.946
5,77,TRACK,0,0,0.9514,,0,24.005
5,78,TRACK,0,0,0.9481,,0,21.926
5,79,TRACK,0,0,0.9459,,0,28.086
5,80,TRACK,1,1,0.9494,0.9008,0,58.318
5,81,TRACK,0,0,0.9199,,0,19.904
5,82,TRACK,0,0,0.9184,,0,25.543
5,83,TRACK,0,0,0.9169,,0,20.505
5,84,TRACK,0,0,0.9174,,0,21.203
5,85,TRACK,1,1,0.9159,0.8413,0,58.414
5,86,TRACK,0,0,0.9623,,0,19.519
5,87,TRACK,0,0,0.9596,,0,25.170
5,88,TRACK,0,0,0.9610,,0,20.029
5,89,TRACK,0,0,0.9574,,0,21.570
5,90,TRACK,1,1,0.9552,0.9264,0,59.762
5,91,TRACK,0,0,0.9555,,0,18.948
5,92,TRACK,0,0,0.9583,,0,25.766
5,93,TRACK,0,0,0.9540,,0,19.083
5,94,TRACK,0,0,0.9542,,0,21.627
5,95,TRACK,1,1,0.9446,0.9513,0,56.254
5,96,TRACK,0,0,0.8853,,0,13.749
5,97,TRACK,0,0,0.8785,,0,19.368
5,98,TRACK,0,0,0.8781,,0,21.121
5,99,TRACK,0,0,0.8770,,0,19.983
5,100,TRACK,1,1,0.8847,0.8965,0,57.625
5,101,TRACK,0,0,0.8941,,0,14.588
5,102,TRACK,0,0,0.8929,,0,15.968
5,103,TRACK,0,0,0.8916,,0,20.163
5,104,TRACK,0,0,0.8918,,0,24.292
5,105,TRACK,1,1,0.8861,0.9163,0,60.252
5,106,TRACK,0,0,0.9189,,0,14.091
5,107,TRACK,0,0,0.9206,,0,23.341
5,108,TRACK,0,0,0.9186,,0,21.530
5,109,TRACK,0,0,0.9205,,0,18.549
5,110,TRACK,1,1,0.9183,0.8749,0,63.053
5,111,TRACK,0,0,0.9560,,0,15.144
5,112,TRACK,0,0,0.9506,,0,18.799
5,113,TRACK,0,0,0.9514,,0,20.730
5,114,TRACK,0,0,0.9548,,0,19.081
5,115,TRACK,1,0,0.9486,,0,57.439
5,116,TRACK,0,0,0.9508,,0,20.499
5,117,TRACK,0,0,0.9495,,0,20.874
5,118,TRACK,0,0,0.9493,,0,20.571
5,119,TRACK,0,0,0.9471,,0,21.248
5,120,TRACK,1,1,0.9439,0.7390,0,61.453
5,121,TRACK,0,0,0.8035,,0,18.377
5,122,TRACK,0,0,0.8045,,0,19.445
5,123,TRACK,0,0,0.8038,,0,21.271
5,124,TRACK,0,0,0.8015,,0,20.104
5,125,TRACK,1,1,0.8048,0.9022,0,64.497
5,126,TRACK,0,0,0.8386,,0,13.808
5,127,TRACK,0,0,0.8373,,0,17.878
5,128,TRACK,0,0,0.8339,,0,20.857
5,129,TRACK,0,0,0.8373,,0,19.520
5,130,TRACK,1,1,0.8345,0.9559,0,57.840
5,131,TRACK,0,0,0.8562,,0,17.341
5,132,TRACK,0,0,0.8547,,0,22.467
5,133,TRACK,0,0,0.8553,,0,21.802
5,134,TRACK,0,0,0.8532,,0,21.702
5,135,TRACK,1,1,0.8516,0.9715,0,55.643
5,136,TRACK,0,0,0.8885,,0,16.430
5,137,TRACK,0,0,0.8876,,0,16.989
5,138,TRACK,0,0,0.8895,,0,21.387
5,139,TRACK,0,0,0.8895,,0,20.849
5,140,TRACK,1,1,0.8861,0.9430,0,53.493
5,141,TRACK,0,0,0.9435,,0,19.653
5,142,TRACK,0,0,0.9400,,0,17.855
5,143,TRACK,0,0,0.9383,,0,22.151
5,144,TRACK,0,0,0.9411,,0,17.190
5,145,TRACK,1,1,0.9356,0.9480,0,54.731
5,146,TRACK,0,0,0.8394,,0,13.262
5,147,TRACK,0,0,0.8395,,0,16.788
5,148,TRACK,0,0,0.8362,,0,21.108
5,149,TRACK,0,0,0.8386,,0,21.860
5,150,TRACK,1,1,0.8379,0.9223,0,57.807
5,151,TRACK,0,0,0.9502,,0,13.175
5,152,TRACK,0,0,0.9434,,0,16.611
5,153,TRACK,0,0,0.9463,,0,20.362
5,154,TRACK,0,0,0.9470,,0,21.110
5,155,TRACK,1,1,0.9455,0.8166,0,57.356
5,156,TRACK,0,0,0.8909,,0,16.747
5,157,TRACK,0,0,0.8925,,0,19.505
5,158,TRACK,0,0,0.8927,,0,20.365
5,159,TRACK,0,0,0.8888,,0,19.306
5,160,TRACK,1,1,0.8872,0.8864,0,58.907
5,161,TRACK,0,0,0.8426,,0,13.665
5,162,TRACK,0,0,0.8438,,0,18.850
5,163,TRACK,0,0,0.8454,,0,21.479
5,164,TRACK,0,0,0.8464,,0,19.151
5,165,TRACK,1,1,0.8438,0.8955,0,57.681
5,166,TRACK,0,0,0.9464,,0,12.025
5,167,TRACK,0,0,0.9447,,0,19.753
5,168,TRACK,0,0,0.9369,,0,19.997
5,169,TRACK,0,0,0.9394,,0,21.049
5,170,TRACK,1,1,0.9406,0.9239,0,56.059
5,171,TRACK,0,0,0.8867,,0,17.336
5,172,TRACK,0,0,0.8813,,0,16.853
5,173,TRACK,0,0,0.8849,,0,19.357
5,174,TRACK,0,0,0.8861,,0,20.011
5,175,TRACK,1,1,0.8852,0.8234,0,56.625
5,176,TRACK,0,0,0.7786,,0,12.185
5,177,TRACK,0,0,0.7764,,0,18.037
5,178,TRACK,0,0,0.7754,,0,26.530
5,179,TRACK,0,0,0.7747,,0,19.178
5,180,TRACK,1,1,0.7794,0.9122,0,53.293
5,181,TRACK,0,0,0.9458,,0,16.714
5,182,TRACK,0,0,0.9420,,0,24.688
5,183,TRACK,0,0,0.9403,,0,19.149
5,184,TRACK,0,0,0.9444,,0,20.256
