N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
8,109,TRACK,0,0,0.8820,,0,13.663
8,110,TRACK,0,0,0.8825,,0,14.200
8,111,TRACK,0,0,0.8806,,0,15.673
8,112,TRACK,1,1,0.8849,0.9265,0,35.187
8,113,TRACK,0,0,0.8544,,0,11.312
8,114,TRACK,0,0,0.8575,,0,15.950
8,115,TRACK,0,0,0.8553,,0,15.944
8,116,TRACK,0,0,0.8554,,0,15.687
8,117,TRACK,0,0,0.8553,,0,14.648
8,118,TRACK,0,0,0.8552,,0,14.251
8,119,TRACK,0,0,0.8523,,0,15.677
8,120,TRACK,1,1,0.8540,0.9344,0,35.237
8,121,TRACK,0,0,0.8844,,0,12.153
8,122,TRACK,0,0,0.8845,,0,14.147
8,123,TRACK,0,0,0.8832,,0,13.542
8,124,TRACK,0,0,0.8837,,0,14.054
8,125,TRACK,0,0,0.8859,,0,15.574
8,126,TRACK,0,0,0.8857,,0,12.152
8,127,TRACK,0,0,0.8862,,0,14.003
8,128,TRACK,1,1,0.8849,0.8111,0,31.656
8,129,TRACK,0,0,0.7996,,0,12.172
8,130,TRACK,0,0,0.7989,,0,11.151
8,131,TRACK,0,0,0.7993,,0,14.129
8,132,TRACK,0,0,0.7985,,0,13.857
8,133,TRACK,0,0,0.7982,,0,13.912
8,134,TRACK,0,0,0.7946,,0,14.146
8,135,TRACK,0,0,0.7967,,0,13.312
8,136,TRACK,1,1,0.7957,0.9263,0,33.132
8,137,TRACK,0,0,0.8824,,0,9.073
8,138,TRACK,0,0,0.8834,,0,17.769
8,139,TRACK,0,0,0.8805,,0,15.219
8,140,TRACK,0,0,0.8829,,0,15.322
8,141,TRACK,0,0,0.8813,,0,14.979
8,142,TRACK,0,0,0.8791,,0,12.934
8,143,TRACK,0,0,0.8800,,0,13.706
8,144,TRACK,1,1,0.8819,0.9254,0,34.268
8,145,TRACK,0,0,0.8790,,0,14.955
8,146,TRACK,0,0,0.8801,,0,17.922
8,147,TRACK,0,0,0.8798,,0,15.229
8,148,TRACK,0,0,0.8843,,0,15.407
8,149,TRACK,0,0,0.8776,,0,14.585
8,150,TRACK,0,0,0.8798,,0,13.341
8,151,TRACK,0,0,0.8775,,0,15.555
8,152,TRACK,1,1,0.8829,0.9119,0,34.986
8,153,TRACK,0,0,0.8830,,0,10.586
8,154,TRACK,0,0,0.8849,,0,16.968
8,155,TRACK,0,0,0.8829,,0,12.536
8,156,TRACK,0,0,0.8816,,0,15.191
8,157,TRACK,0,0,0.8806,,0,11.459
8,158,TRACK,0,0,0.8811,,0,13.936
8,159,TRACK,0,0,0.8762,,0,13.705
8,160,TRACK,1,1,0.8782,0.8411,0,34.415
8,161,TRACK,0,0,0.9236,,0,12.061
8,162,TRACK,0,0,0.9255,,0,15.955
8,163,TRACK,0,0,0.9294,,0,16.048
8,164,TRACK,0,0,0.9312,,0,12.166
8,165,TRACK,0,0,0.9261,,0,15.328
8,166,TRACK,0,0,0.9241,,0,15.705
8,167,TRACK,0,0,0.9296,,0,11.149
8,168,TRACK,1,1,0.9300,0.9254,0,41.839
8,169,TRACK,0,0,0.8066,,0,11.409
8,170,TRACK,0,0,0.8066,,0,17.030
8,171,TRACK,0,0,0.8062,,0,18.629
8,172,TRACK,0,0,0.8046,,0,14.138
8,173,TRACK,0,0,0.8067,,0,15.543
8,174,TRACK,0,0,0.8089,,0,12.799
8,175,TRACK,0,0,0.8088,,0,13.296
8,176,TRACK,1,1,0.8075,0.8857,0,32.990
8,177,TRACK,0,0,0.7950,,0,11.351
8,178,TRACK,0,0,0.7942,,0,18.058
8,179,TRACK,0,0,0.7933,,0,14.649
8,180,TRACK,0,0,0.7963,,0,14.050
8,181,TRACK,0,0,0.7926,,0,13.582
8,182,TRACK,0,0,0.7944,,0,14.037
8,183,TRACK,0,0,0.7925,,0,20.471
8,184,TRACK,1,1,0.7937,0.9026,0,34.985
8,185,TRACK,0,0,0.9079,,0,11.586
8,186,TRACK,0,0,0.9084,,0,15.747
8,187,TRACK,0,0,0.9101,,0,15.253
8,188,TRACK,0,0,0.9118,,0,16.582
8,189,TRACK,0,0,0.9089,,0,15.485
8,190,TRACK,0,0,0.9075,,0,14.728
8,191,TRACK,0,0,0.9035,,0,14.175
8,192,TRACK,1,1,0.9069,0.9251,0,33.896
