N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
4,1,DETECT,1,1,,,0,76.076
4,2,TRACK,0,0,0.9866,,0,40.272
4,3,TRACK,0,0,0.9882,,0,18.072
4,4,TRACK,1,1,0.9786,0.8973,0,47.936
4,5,TRACK,0,0,0.9249,,0,13.371
4,6,TRACK,0,0,0.9251,,0,21.068
4,7,TRACK,0,0,0.9226,,0,18.225
4,8,TRACK,1,1,0.9183,0.7909,0,45.954
4,9,TRACK,0,0,0.9342,,0,12.286
4,10,TRACK,0,0,0.9341,,0,18.040
4,11,TRACK,0,0,0.9291,,0,20.047
4,12,TRACK,1,1,0.9268,0.9088,0,39.985
4,13,TRACK,0,0,0.9444,,0,13.099
4,14,TRACK,0,0,0.9505,,0,17.819
4,15,TRACK,0,0,0.9411,,0,20.667
4,16,TRACK,1,1,0.9465,0.8881,0,41.635
4,17,TRACK,0,0,0.9201,,0,12.294
4,18,TRACK,0,0,0.9221,,0,16.560
4,19,TRACK,0,0,0.9216,,0,20.631
4,20,TRACK,1,1,0.9186,0.8773,0,42.204
4,21,TRACK,0,0,0.9234,,0,10.950
4,22,TRACK,0,0,0.9263,,0,14.516
4,23,TRACK,0,0,0.9240,,0,14.503
4,24,TRACK,1,1,0.9285,0.8704,0,34.208
4,25,TRACK,0,0,0.9292,,0,9.717
4,26,TRACK,0,0,0.9271,,0,17.091
4,27,TRACK,0,0,0.9212,,0,13.817
4,28,TRACK,1,1,0.9113,0.9031,0,33.680
4,29,TRACK,0,0,0.9211,,0,12.995
4,30,TRACK,0,0,0.9137,,0,16.734
4,31,TRACK,0,0,0.9130,,0,20.631
4,32,TRACK,1,1,0.9037,0.9087,0,40.398
4,33,TRACK,0,0,0.8957,,0,12.667
4,34,TRACK,0,0,0.8981,,0,18.153
4,35,TRACK,0,0,0.8910,,0,21.213
4,36,TRACK,1,1,0.8943,0.8358,0,44.557
4,37,TRACK,0,0,0.8899,,0,12.863
4,38,TRACK,0,0,0.8863,,0,18.103
4,39,TRACK,0,0,0.8918,,0,15.103
4,40,TRACK,1,1,0.8847,0.8497,0,42.099
4,41,TRACK,0,0,0.8843,,0,14.696
4,42,TRACK,0,0,0.8846,,0,17.364
4,43,TRACK,0,0,0.8773,,0,21.971
4,44,TRACK,1,1,0.8740,0.9221,0,47.625
4,45,TRACK,0,0,0.8915,,0,19.092
4,46,TRACK,0,0,0.8895,,0,14.629
4,47,TRACK,0,0,0.8860,,0,14.341
4,48,TRACK,1,1,0.8772,0.8998,0,39.566
4,49,TRACK,0,0,0.8842,,0,12.122
4,50,TRACK,0,0,0.8789,,0,19.481
4,51,TRACK,0,0,0.8866,,0,19.712
4,52,TRACK,1,1,0.8787,0.9322,0,38.752
4,53,TRACK,0,0,0.9440,,0,12.432
4,54,TRACK,0,0,0.9417,,0,15.614
4,55,TRACK,0,0,0.9316,,0,13.506
4,56,TRACK,1,1,0.9408,0.9214,0,32.458
4,57,TRACK,0,0,0.9632,,0,14.032
4,58,TRACK,0,0,0.9646,,0,16.516
4,59,TRACK,0,0,0.9597,,0,14.159
4,60,TRACK,1,1,0.9634,0.8816,0,33.478
4,61,TRACK,0,0,0.8854,,0,11.573
4,62,TRACK,0,0,0.8838,,0,16.461
4,63,TRACK,0,0,0.8776,,0,14.457
4,64,TRACK,1,1,0.8810,0.9009,0,32.797
4,65,TRACK,0,0,0.9264,,0,12.676
4,66,TRACK,0,0,0.9250,,0,23.333
4,67,TRACK,0,0,0.9190,,0,13.998
4,68,TRACK,1,1,0.9206,0.9113,0,35.657
4,69,TRACK,0,0,0.9388,,0,10.532
4,70,TRACK,0,0,0.9357,,0,15.859
4,71,TRACK,0,0,0.9284,,0,14.165
4,72,TRACK,1,1,0.9325,0.8583,0,32.321
4,73,TRACK,0,0,0.9022,,0,13.624
4,74,TRACK,0,0,0.9004,,0,16.620
4,75,TRACK,0,0,0.8974,,0,13.751
4,76,TRACK,1,1,0.9014,0.9029,0,32.570
4,77,TRACK,0,0,0.9385,,0,14.226
4,78,TRACK,0,0,0.9375,,0,17.774
4,79,TRACK,0,0,0.9319,,0,11.996
4,80,TRACK,1,1,0.9350,0.9264,0,33.669
4,81,TRACK,0,0,0.9644,,0,12.831
4,82,TRACK,0,0,0.9628,,0,15.799
4,83,TRACK,0,0,0.9608,,0,13.080
4,84,TRACK,1,1,0.9618,0.8541,0,32.476
4,85,TRACK,0,0,0.9582,,0,13.618
4,86,TRACK,0,0,0.9575,,0,15.942
4,87,TRACK,0,0,0.9576,,0,13.720
4,88,TRACK,1,1,0.9570,0.9045,0,32.455
4,89,TRACK,0,0,0.9346,,0,13.998
4,90,TRACK,0,0,0.9351,,0,15.586
4,91,TRACK,0,0,0.9283,,0,16.020
4,92,TRACK,1,1,0.9338,0.9385,0,38.584
4,93,TRACK,0,0,0.9322,,0,13.492
4,94,TRACK,0,0,0.9299,,0,11.869
4,95,TRACK,0,0,0.9199,,0,10.667
4,96,TRACK,1,1,0.9196,0.9510,0,35.082
4,97,TRACK,0,0,0.8569,,0,11.749
4,98,TRACK,0,0,0.8585,,0,18.110
4,99,TRACK,0,0,0.8529,,0,12.025
4,100,TRACK,1,1,0.8543,0.9148,0,32.920
4,101,TRACK,0,0,0.9189,,0,13.679
4,102,TRACK,0,0,0.9175,,0,16.561
4,103,TRACK,0,0,0.9163,,0,12.230
4,104,TRACK,1,1,0.9164,0.8794,0,33.840
4,105,TRACK,0,0,0.8762,,0,13.486
4,106,TRACK,0,0,0.8811,,0,8.574
4,107,TRACK,0,0,0.8765,,0,13.506
4,108,TRACK,1,1,0.8808,0.8251,0,32.840
4,109,TRACK,0,0,0.8354,,0,7.343
4,110,TRACK,0,0,0.8334,,0,8.698
4,111,TRACK,0,0,0.8295,,0,13.856
4,112,TRACK,1,1,0.8333,0.9020,0,32.654
4,113,TRACK,0,0,0.8860,,0,13.992
4,114,TRACK,0,0,0.8898,,0,16.447
4,115,TRACK,0,0,0.8874,,0,13.257
4,116,TRACK,1,1,0.8868,0.8476,0,32.937
4,117,TRACK,0,0,0.8548,,0,13.793
4,118,TRACK,0,0,0.8554,,0,15.128
4,119,TRACK,0,0,0.8507,,0,14.398
4,120,TRACK,1,1,0.8553,0.9551,0,33.359
4,121,TRACK,0,0,0.8207,,0,13.744
4,122,TRACK,0,0,0.8222,,0,8.604
4,123,TRACK,0,0,0.8206,,0,13.604
4,124,TRACK,1,1,0.8219,0.9552,0,33.440
4,125,TRACK,0,0,0.8432,,0,13.504
4,126,TRACK,0,0,0.8421,,0,8.929
4,127,TRACK,0,0,0.8394,,0,13.683
4,128,TRACK,1,1,0.8452,0.9547,0,32.231
4,129,TRACK,0,0,0.7917,,0,8.189
4,130,TRACK,0,0,0.7905,,0,17.102
4,131,TRACK,0,0,0.7905,,0,11.776
4,132,TRACK,1,1,0.7896,0.9513,0,33.597
4,133,TRACK,0,0,0.8263,,0,13.359
4,134,TRACK,0,0,0.8223,,0,9.053
4,135,TRACK,0,0,0.8213,,0,14.163
4,136,TRACK,1,1,0.8214,0.9601,0,32.193
4,137,TRACK,0,0,0.8812,,0,8.563
4,138,TRACK,0,0,0.8828,,0,15.179
4,139,TRACK,0,0,0.8807,,0,13.989
4,140,TRACK,1,1,0.8812,0.9456,0,38.866
4,141,TRACK,0,0,0.8796,,0,7.174
4,142,TRACK,0,0,0.8767,,0,15.286
4,143,TRACK,0,0,0.8754,,0,15.274
4,144,TRACK,1,1,0.8775,0.9399,0,33.860
4,145,TRACK,0,0,0.8212,,0,12.664
4,146,TRACK,0,0,0.8222,,0,16.672
4,147,TRACK,0,0,0.8214,,0,12.196
4,148,TRACK,1,1,0.8243,0.8663,0,33.933
4,149,TRACK,0,0,0.9644,,0,13.726
4,150,TRACK,0,0,0.9681,,0,14.328
4,151,TRACK,0,0,0.9661,,0,14.381
4,152,TRACK,1,1,0.9672,0.7898,0,32.784
4,153,TRACK,0,0,0.8828,,0,7.805
4,154,TRACK,0,0,0.8844,,0,10.883
4,155,TRACK,0,0,0.8841,,0,12.237
4,156,TRACK,1,1,0.8818,0.8838,0,34.126
4,157,TRACK,0,0,0.8464,,0,11.874
4,158,TRACK,0,0,0.8450,,0,15.445
4,159,TRACK,0,0,0.8431,,0,13.466
4,160,TRACK,1,1,0.8442,0.8819,0,37.569
4,161,TRACK,0,0,0.9348,,0,12.134
4,162,TRACK,0,0,0.9362,,0,14.123
4,163,TRACK,0,0,0.9401,,0,14.650
4,164,TRACK,1,1,0.9407,0.9004,0,36.279
4,165,TRACK,0,0,0.8437,,0,12.518
4,166,TRACK,0,0,0.8436,,0,11.623
4,167,TRACK,0,0,0.8446,,0,8.877
4,168,TRACK,1,1,0.8449,0.9059,0,29.073
