N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
3,1,DETECT,1,1,,,0,72.954
3,2,TRACK,0,0,0.9866,,0,32.849
3,3,TRACK,1,1,0.9882,0.9160,0,38.268
3,4,TRACK,0,0,0.9807,,0,32.415
3,5,TRACK,0,0,0.9754,,0,21.579
3,6,TRACK,1,1,0.9750,0.8314,0,44.710
3,7,TRACK,0,0,0.9201,,0,15.789
3,8,TRACK,0,0,0.9155,,0,22.217
3,9,TRACK,1,1,0.9131,0.9431,0,36.635
3,10,TRACK,0,0,0.9329,,0,12.495
3,11,TRACK,0,0,0.9305,,0,15.158
3,12,TRACK,1,1,0.9241,0.8951,0,35.149
3,13,TRACK,0,0,0.9272,,0,23.663
3,14,TRACK,0,0,0.9348,,0,24.619
3,15,TRACK,1,1,0.9264,0.8973,0,37.963
3,16,TRACK,0,0,0.9452,,0,18.066
3,17,TRACK,0,0,0.9445,,0,22.406
3,18,TRACK,1,1,0.9403,0.9207,0,41.617
3,19,TRACK,0,0,0.9295,,0,19.935
3,20,TRACK,0,0,0.9271,,0,19.134
3,21,TRACK,1,1,0.9177,0.8832,0,33.987
3,22,TRACK,0,0,0.8985,,0,23.344
3,23,TRACK,0,0,0.8966,,0,18.001
3,24,TRACK,1,1,0.8947,0.8804,0,40.203
3,25,TRACK,0,0,0.9040,,0,18.656
3,26,TRACK,0,0,0.9020,,0,19.863
3,27,TRACK,1,1,0.8964,0.8521,0,35.314
3,28,TRACK,0,0,0.9453,,0,22.388
3,29,TRACK,0,0,0.9457,,0,14.846
3,30,TRACK,1,1,0.9376,0.9031,0,36.936
3,31,TRACK,0,0,0.9022,,0,10.842
3,32,TRACK,0,0,0.8934,,0,17.402
3,33,TRACK,1,1,0.8949,0.8508,0,34.305
3,34,TRACK,0,0,0.9325,,0,10.503
3,35,TRACK,0,0,0.9306,,0,25.625
3,36,TRACK,1,1,0.9217,0.8782,0,36.122
3,37,TRACK,0,0,0.9545,,0,18.341
3,38,TRACK,0,0,0.9535,,0,20.683
3,39,TRACK,1,1,0.9577,0.8310,0,40.503
3,40,TRACK,0,0,0.8533,,0,11.965
3,41,TRACK,0,0,0.8513,,0,16.141
3,42,TRACK,1,1,0.8500,0.8843,0,36.488
3,43,TRACK,0,0,0.9435,,0,16.414
3,44,TRACK,0,0,0.9304,,0,18.788
3,45,TRACK,1,1,0.9348,0.8701,0,39.306
3,46,TRACK,0,0,0.9235,,0,24.622
3,47,TRACK,0,0,0.9220,,0,18.173
