N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
2,1,DETECT,1,1,,,0,73.658
2,2,TRACK,1,1,0.9866,0.9287,0,59.833
2,3,TRACK,0,0,0.9912,,0,10.257
2,4,TRACK,1,1,0.9892,0.9332,0,35.983
2,5,TRACK,0,0,0.9059,,0,10.752
2,6,TRACK,1,1,0.9068,0.8689,0,41.254
2,7,TRACK,0,0,0.9320,,0,13.443
2,8,TRACK,1,1,0.9271,0.9097,0,39.043
2,9,TRACK,0,0,0.8524,,0,9.467
2,10,TRACK,1,1,0.8524,0.8668,0,38.091
2,11,TRACK,0,0,0.8714,,0,12.395
2,12,TRACK,1,1,0.8697,0.9180,0,38.134
2,13,TRACK,0,0,0.9452,,0,17.013
2,14,TRACK,1,1,0.9507,0.8989,0,38.897
2,15,TRACK,0,0,0.9062,,0,16.286
2,16,TRACK,1,1,0.9083,0.8497,0,40.603
2,17,TRACK,0,0,0.9408,,0,15.146
2,18,TRACK,1,1,0.9425,0.8705,0,40.167
2,19,TRACK,0,0,0.9091,,0,14.321
2,20,TRACK,1,1,0.9057,0.8915,0,39.413
2,21,TRACK,0,0,0.9271,,0,10.378
2,22,TRACK,1,1,0.9298,0.8464,0,39.696
2,23,TRACK,0,0,0.9080,,0,14.355
2,24,TRACK,1,1,0.9070,0.9061,0,39.414
2,25,TRACK,0,0,0.8819,,0,17.028
2,26,TRACK,1,1,0.8801,0.9025,0,42.366
2,27,TRACK,0,0,0.9052,,0,12.217
2,28,TRACK,1,1,0.8952,0.8779,0,41.105
2,29,TRACK,0,0,0.9177,,0,13.416
2,30,TRACK,1,1,0.9094,0.8424,0,41.264
2,31,TRACK,0,0,0.9080,,0,15.462
2,32,TRACK,1,1,0.8964,0.8543,0,41.972
2,33,TRACK,0,0,0.9176,,0,14.266
2,34,TRACK,1,1,0.9206,0.8710,0,42.155
2,35,TRACK,0,0,0.8782,,0,13.190
2,36,TRACK,1,1,0.8739,0.8569,0,39.347
2,37,TRACK,0,0,0.8907,,0,15.140
2,38,TRACK,1,1,0.8885,0.9114,0,38.400
2,39,TRACK,0,0,0.9361,,0,10.823
2,40,TRACK,1,1,0.9325,0.8425,0,43.353
2,41,TRACK,0,0,0.9477,,0,11.806
2,42,TRACK,1,1,0.9498,0.8966,0,35.564
2,43,TRACK,0,0,0.9443,,0,12.735
2,44,TRACK,1,1,0.9332,0.8270,0,36.082
2,45,TRACK,0,0,0.8715,,0,12.995
2,46,TRACK,1,1,0.8708,0.9253,0,36.551
2,47,TRACK,0,0,0.9158,,0,11.863
2,48,TRACK,1,1,0.9085,0.8742,0,32.493
2,49,TRACK,0,0,0.8875,,0,17.365
2,50,TRACK,1,1,0.8819,0.9381,0,35.080
2,51,TRACK,0,0,0.9010,,0,13.167
2,52,TRACK,1,1,0.9046,0.9103,0,35.345
2,53,TRACK,0,0,0.9450,,0,12.651
2,54,TRACK,1,1,0.9422,0.9377,0,38.431
2,55,TRACK,0,0,0.8944,,0,10.027
2,56,TRACK,1,1,0.8988,0.9154,0,34.177
2,57,TRACK,0,0,0.9201,,0,14.206
2,58,TRACK,1,1,0.9197,0.8996,0,34.227
2,59,TRACK,0,0,0.9228,,0,14.049
2,60,TRACK,1,1,0.9228,0.9024,0,34.755
2,61,TRACK,0,0,0.9036,,0,14.205
2,62,TRACK,1,1,0.9019,0.9322,0,41.092
2,63,TRACK,0,0,0.8987,,0,13.841
2,64,TRACK,1,1,0.9013,0.9176,0,37.404
2,65,TRACK,0,0,0.9249,,0,11.167
2,66,TRACK,1,1,0.9252,0.9054,0,29.425
2,67,TRACK,0,0,0.9150,,0,12.108
2,68,TRACK,1,1,0.9169,0.9288,0,34.186
2,69,TRACK,0,0,0.9635,,0,14.050
2,70,TRACK,1,1,0.9617,0.9393,0,34.761
