N,frame_id,mode,yolo_ran,refreshed,sim,iou,lost_counter,frame_ms
7,1,DETECT,1,1,,,0,78.971
7,2,TRACK,0,0,0.9866,,0,34.700
7,3,TRACK,0,0,0.9882,,0,18.413
7,4,TRACK,0,0,0.9786,,0,15.802
7,5,TRACK,0,0,0.9768,,0,24.965
7,6,TRACK,0,0,0.9661,,0,15.715
7,7,TRACK,1,1,0.9605,0.7332,0,42.753
7,8,TRACK,0,0,0.9378,,0,21.889
7,9,TRACK,0,0,0.9327,,0,22.169
7,10,TRACK,0,0,0.9360,,0,21.488
7,11,TRACK,0,0,0.9308,,0,31.555
7,12,TRACK,0,0,0.9292,,0,24.178
7,13,TRACK,0,0,0.9191,,0,15.848
7,14,TRACK,1,1,0.9252,0.9240,0,41.537
7,15,TRACK,0,0,0.9877,,0,17.471
7,16,TRACK,0,0,0.9876,,0,21.500
7,17,TRACK,0,0,0.9848,,0,13.635
7,18,TRACK,0,0,0.9811,,0,20.742
7,19,TRACK,0,0,0.9848,,0,14.700
7,20,TRACK,0,0,0.9826,,0,17.806
7,21,TRACK,1,1,0.9791,0.9273,0,34.853
7,22,TRACK,0,0,0.9441,,0,15.963
7,23,TRACK,0,0,0.9423,,0,19.924
7,24,TRACK,0,0,0.9400,,0,17.681
7,25,TRACK,0,0,0.9382,,0,29.227
7,26,TRACK,0,0,0.9392,,0,15.604
7,27,TRACK,0,0,0.9324,,0,18.715
7,28,TRACK,1,1,0.9275,0.9117,0,47.767
7,29,TRACK,0,0,0.9428,,0,17.042
7,30,TRACK,0,0,0.9344,,0,17.953
7,31,TRACK,0,0,0.9333,,0,16.818
7,32,TRACK,0,0,0.9235,,0,14.648
7,33,TRACK,0,0,0.9217,,0,18.791
7,34,TRACK,0,0,0.9261,,0,15.740
7,35,TRACK,1,1,0.9264,0.8862,0,37.868
7,36,TRACK,0,0,0.9222,,0,11.910
7,37,TRACK,0,0,0.9275,,0,17.738
7,38,TRACK,0,0,0.9158,,0,15.112
7,39,TRACK,0,0,0.9162,,0,18.559
7,40,TRACK,0,0,0.9026,,0,14.379
7,41,TRACK,0,0,0.9104,,0,16.496
7,42,TRACK,1,1,0.9084,0.8457,0,38.578
7,43,TRACK,0,0,0.9628,,0,22.793
7,44,TRACK,0,0,0.9507,,0,20.918
7,45,TRACK,0,0,0.9565,,0,17.101
7,46,TRACK,0,0,0.9540,,0,15.528
7,47,TRACK,0,0,0.9574,,0,16.111
7,48,TRACK,0,0,0.9489,,0,17.401
7,49,TRACK,1,1,0.9508,0.8719,0,35.088
7,50,TRACK,0,0,0.8983,,0,23.185
7,51,TRACK,0,0,0.8953,,0,16.460
7,52,TRACK,0,0,0.8923,,0,14.788
7,53,TRACK,0,0,0.8945,,0,15.534
7,54,TRACK,0,0,0.8933,,0,13.119
7,55,TRACK,0,0,0.8878,,0,12.160
7,56,TRACK,1,1,0.8942,0.9095,0,34.894
7,57,TRACK,0,0,0.9428,,0,10.194
7,58,TRACK,0,0,0.9428,,0,18.372
7,59,TRACK,0,0,0.9349,,0,14.179
7,60,TRACK,0,0,0.9398,,0,14.907
7,61,TRACK,0,0,0.9360,,0,18.491
7,62,TRACK,0,0,0.9379,,0,23.826
7,63,TRACK,1,1,0.9314,0.8342,0,38.360
7,64,TRACK,0,0,0.8911,,0,24.719
7,65,TRACK,0,0,0.8929,,0,17.718
7,66,TRACK,0,0,0.8936,,0,16.140
7,67,TRACK,0,0,0.8930,,0,17.559
7,68,TRACK,0,0,0.8911,,0,14.980
7,69,TRACK,0,0,0.8930,,0,13.856
7,70,TRACK,1,1,0.8888,0.8342,0,33.017
7,71,TRACK,0,0,0.8945,,0,9.881
7,72,TRACK,0,0,0.8933,,0,18.705
7,73,TRACK,0,0,0.8917,,0,15.013
7,74,TRACK,0,0,0.8897,,0,15.152
7,75,TRACK,0,0,0.8871,,0,15.652
7,76,TRACK,0,0,0.8932,,0,17.895
7,77,TRACK,1,1,0.8946,0.8951,0,34.878
7,78,TRACK,0,0,0.9796,,0,10.497
7,79,TRACK,0,0,0.9787,,0,17.892
7,80,TRACK,0,0,0.9788,,0,17.791
7,81,TRACK,0,0,0.9772,,0,13.978
7,82,TRACK,0,0,0.9746,,0,17.194
7,83,TRACK,0,0,0.9739,,0,15.431
7,84,TRACK,1,1,0.9736,0.8282,0,37.614
7,85,TRACK,0,0,0.9602,,0,11.102
7,86,TRACK,0,0,0.9586,,0,15.527
7,87,TRACK,0,0,0.9574,,0,15.845
7,88,TRACK,0,0,0.9575,,0,12.262
7,89,TRACK,0,0,0.9565,,0,13.628
7,90,TRACK,0,0,0.9524,,0,14.238
7,91,TRACK,1,1,0.9519,0.9229,0,33.098
7,92,TRACK,0,0,0.9720,,0,10.974
7,93,TRACK,0,0,0.9693,,0,16.907
7,94,TRACK,0,0,0.9703,,0,17.232
7,95,TRACK,0,0,0.9734,,0,13.429
7,96,TRACK,0,0,0.9608,,0,11.839
7,97,TRACK,0,0,0.9601,,0,14.242
7,98,TRACK,1,1,0.9584,0.8961,0,32.285
7,99,TRACK,0,0,0.9279,,0,11.439
7,100,TRACK,0,0,0.9203,,0,12.338
7,101,TRACK,0,0,0.9201,,0,14.484
